"","year","gear","julian","fish","CU_no","CU","prob"
"1",1985,"Fish Wheel",200,1,76,"NYR",0.9997
"2",1985,"Fish Wheel",200,1,75,"White",0
"3",1985,"Fish Wheel",200,1,74,"Stew",3e-04
"4",1985,"Fish Wheel",200,1,72,"Pelly",0
"5",1985,"Fish Wheel",200,1,71,"Norden",0
"6",1985,"Fish Wheel",200,1,73,"MidYR",0
"7",1985,"Fish Wheel",200,1,68,"Teslin",0
"8",1985,"Fish Wheel",200,1,69,"UpperYR",0
"9",1985,"Fish Wheel",200,2,76,"NYR",0.9968
"10",1985,"Fish Wheel",200,2,75,"White",0
"11",1985,"Fish Wheel",200,2,74,"Stew",0.0025
"12",1985,"Fish Wheel",200,2,72,"Pelly",5e-04
"13",1985,"Fish Wheel",200,2,71,"Norden",0
"14",1985,"Fish Wheel",200,2,73,"MidYR",2e-04
"15",1985,"Fish Wheel",200,2,68,"Teslin",0
"16",1985,"Fish Wheel",200,2,69,"UpperYR",0
"17",1985,"Fish Wheel",201,3,76,"NYR",0.9905
"18",1985,"Fish Wheel",201,3,75,"White",0
"19",1985,"Fish Wheel",201,3,74,"Stew",0.0045
"20",1985,"Fish Wheel",201,3,72,"Pelly",5e-04
"21",1985,"Fish Wheel",201,3,71,"Norden",0
"22",1985,"Fish Wheel",201,3,73,"MidYR",0.0044
"23",1985,"Fish Wheel",201,3,68,"Teslin",1e-04
"24",1985,"Fish Wheel",201,3,69,"UpperYR",0
"25",1985,"Fish Wheel",201,4,76,"NYR",0
"26",1985,"Fish Wheel",201,4,75,"White",0.7782
"27",1985,"Fish Wheel",201,4,74,"Stew",0.07
"28",1985,"Fish Wheel",201,4,72,"Pelly",0.1512
"29",1985,"Fish Wheel",201,4,71,"Norden",0
"30",1985,"Fish Wheel",201,4,73,"MidYR",6e-04
"31",1985,"Fish Wheel",201,4,68,"Teslin",0
"32",1985,"Fish Wheel",201,4,69,"UpperYR",0
"33",1985,"Fish Wheel",202,5,76,"NYR",0.051
"34",1985,"Fish Wheel",202,5,75,"White",0
"35",1985,"Fish Wheel",202,5,74,"Stew",0.012
"36",1985,"Fish Wheel",202,5,72,"Pelly",0.0061
"37",1985,"Fish Wheel",202,5,71,"Norden",0
"38",1985,"Fish Wheel",202,5,73,"MidYR",0.0855
"39",1985,"Fish Wheel",202,5,68,"Teslin",0.8454
"40",1985,"Fish Wheel",202,5,69,"UpperYR",0
"41",1985,"Fish Wheel",202,6,76,"NYR",0
"42",1985,"Fish Wheel",202,6,75,"White",1e-04
"43",1985,"Fish Wheel",202,6,74,"Stew",0.0187
"44",1985,"Fish Wheel",202,6,72,"Pelly",0.978
"45",1985,"Fish Wheel",202,6,71,"Norden",0
"46",1985,"Fish Wheel",202,6,73,"MidYR",0.003
"47",1985,"Fish Wheel",202,6,68,"Teslin",2e-04
"48",1985,"Fish Wheel",202,6,69,"UpperYR",0
"49",1985,"Fish Wheel",202,7,76,"NYR",0
"50",1985,"Fish Wheel",202,7,75,"White",1e-04
"51",1985,"Fish Wheel",202,7,74,"Stew",0.001
"52",1985,"Fish Wheel",202,7,72,"Pelly",6e-04
"53",1985,"Fish Wheel",202,7,71,"Norden",0
"54",1985,"Fish Wheel",202,7,73,"MidYR",0.0033
"55",1985,"Fish Wheel",202,7,68,"Teslin",0.9949
"56",1985,"Fish Wheel",202,7,69,"UpperYR",0
"57",1985,"Fish Wheel",203,8,76,"NYR",0
"58",1985,"Fish Wheel",203,8,75,"White",0
"59",1985,"Fish Wheel",203,8,74,"Stew",0.01
"60",1985,"Fish Wheel",203,8,72,"Pelly",0
"61",1985,"Fish Wheel",203,8,71,"Norden",0
"62",1985,"Fish Wheel",203,8,73,"MidYR",0.0169
"63",1985,"Fish Wheel",203,8,68,"Teslin",0.9731
"64",1985,"Fish Wheel",203,8,69,"UpperYR",0
"65",1985,"Fish Wheel",203,9,76,"NYR",0
"66",1985,"Fish Wheel",203,9,75,"White",0.7654
"67",1985,"Fish Wheel",203,9,74,"Stew",0.05
"68",1985,"Fish Wheel",203,9,72,"Pelly",0.1347
"69",1985,"Fish Wheel",203,9,71,"Norden",0.0016
"70",1985,"Fish Wheel",203,9,73,"MidYR",0.0479
"71",1985,"Fish Wheel",203,9,68,"Teslin",0
"72",1985,"Fish Wheel",203,9,69,"UpperYR",0
"73",1985,"Fish Wheel",203,10,76,"NYR",9e-04
"74",1985,"Fish Wheel",203,10,75,"White",0
"75",1985,"Fish Wheel",203,10,74,"Stew",0.5194
"76",1985,"Fish Wheel",203,10,72,"Pelly",0.1047
"77",1985,"Fish Wheel",203,10,71,"Norden",0
"78",1985,"Fish Wheel",203,10,73,"MidYR",0.0201
"79",1985,"Fish Wheel",203,10,68,"Teslin",0.3549
"80",1985,"Fish Wheel",203,10,69,"UpperYR",0
"81",1985,"Fish Wheel",205,11,76,"NYR",0
"82",1985,"Fish Wheel",205,11,75,"White",0.0115
"83",1985,"Fish Wheel",205,11,74,"Stew",0.2505
"84",1985,"Fish Wheel",205,11,72,"Pelly",0.1073
"85",1985,"Fish Wheel",205,11,71,"Norden",0.42
"86",1985,"Fish Wheel",205,11,73,"MidYR",0.196
"87",1985,"Fish Wheel",205,11,68,"Teslin",0
"88",1985,"Fish Wheel",205,11,69,"UpperYR",0
"89",1985,"Fish Wheel",205,12,76,"NYR",0.9998
"90",1985,"Fish Wheel",205,12,75,"White",0
