"CU","bench.par","mean","50%","10%","90%","n_eff","Rhat"
"Big.Salmon","S.recent",2095.03625,2094.89619,2039.08683,2151.25134,NA,NA
"MiddleYukonR.andtribs.","S.recent",5797.64485,5784.57995,5364.73278,6241.33905,NA,NA
"Nordenskiold","S.recent",1249.65513,1247.21183,1142.64071,1359.55422,NA,NA
"NorthernYukonR.andtribs.","S.recent",1906.70584,1899.31486,1704.84704,2117.58003,NA,NA
"Pelly","S.recent",3004.49837,2999.91596,2793.98656,3223.88309,NA,NA
"Stewart","S.recent",1566.86151,1559.04265,1389.29556,1755.13825,NA,NA
"UpperYukonR.","S.recent",1855.77906,1851.07344,1656.03251,2062.45915,NA,NA
"Whiteandtribs.","S.recent",1381.83754,1372.5302,1191.22388,1583.34503,NA,NA
"YukonR.Teslinheadwaters","S.recent",3325.63547,3322.90912,3010.29304,3641.06978,NA,NA
"Big.Salmon","Seq",8353.64238,7609.09116,3018.30231,13540.67384,NA,NA
"MiddleYukonR.andtribs.","Seq",22393.12421,19373.0694,7999.06165,37195.64442,NA,NA
"Nordenskiold","Seq",3227.85461,3171.55759,2682.67045,3838.68948,NA,NA
"NorthernYukonR.andtribs.","Seq",8853.80262,8110.88207,2762.57934,14707.19616,NA,NA
"Pelly","Seq",13095.04836,11540.03478,3562.9245,22613.04113,NA,NA
"Stewart","Seq",5501.68712,5241.97583,3041.70084,7853.95078,NA,NA
"UpperYukonR.","Seq",6650.44796,6558.45979,4466.51222,8785.3549,NA,NA
"Whiteandtribs.","Seq",7943.66444,7043.5092,2721.99344,13798.85853,NA,NA
"YukonR.Teslinheadwaters","Seq",8128.8007,8164.41471,5102.68801,10691.08657,NA,NA
"Big.Salmon","Sgen",1220.55624,1120.71694,550.68583,1959.25719,NA,NA
"MiddleYukonR.andtribs.","Sgen",3600.75724,3261.87181,1653.5616,5677.44275,NA,NA
"Nordenskiold","Sgen",179.06209,168.30927,106.77627,264.12613,NA,NA
"NorthernYukonR.andtribs.","Sgen",1323.50521,1343.97736,696.23684,1870.75847,NA,NA
"Pelly","Sgen",2282.16118,2297.11361,1094.13987,3305.10825,NA,NA
"Stewart","Sgen",726.21556,653.29527,347.54189,1143.53148,NA,NA
"UpperYukonR.","Sgen",965.58924,931.29823,600.70357,1360.00659,NA,NA
"Whiteandtribs.","Sgen",1112.85616,1115.34414,552.26356,1613.94695,NA,NA
"YukonR.Teslinheadwaters","Sgen",740.32701,707.96403,409.56206,1108.25739,NA,NA
"Big.Salmon","Smsr",7707.45962,6841.84577,4859.97843,11315.09411,NA,NA
"MiddleYukonR.andtribs.","Smsr",22590.51812,19770.15005,13376.71987,33846.75339,NA,NA
"Nordenskiold","Smsr",1616.37137,1580.05936,1314.92496,1954.14102,NA,NA
"NorthernYukonR.andtribs.","Smsr",8398.53647,8060.78501,6459.63318,10549.20565,NA,NA
"Pelly","Smsr",14725.15043,13921.58737,10739.67875,19174.6905,NA,NA
"Stewart","Smsr",4505.05339,3993.55186,2920.21354,6338.49608,NA,NA
"UpperYukonR.","Smsr",5629.02628,5368.75418,4160.25752,7334.08748,NA,NA
"Whiteandtribs.","Smsr",7090.37216,6762.50596,5247.95935,9230.31255,NA,NA
"YukonR.Teslinheadwaters","Smsr",5207.24464,5023.2031,4073.99615,6528.51432,NA,NA
"Big.Salmon","Smsr.20",1541.49192,1368.36915,971.99569,2263.01882,NA,NA
"MiddleYukonR.andtribs.","Smsr.20",4518.10362,3954.03001,2675.34397,6769.35068,NA,NA
"Nordenskiold","Smsr.20",323.27427,316.01187,262.98499,390.8282,NA,NA
"NorthernYukonR.andtribs.","Smsr.20",1679.70729,1612.157,1291.92664,2109.84113,NA,NA
"Pelly","Smsr.20",2945.03009,2784.31747,2147.93575,3834.9381,NA,NA
"Stewart","Smsr.20",901.01068,798.71037,584.04271,1267.69922,NA,NA
"UpperYukonR.","Smsr.20",1125.80526,1073.75084,832.0515,1466.8175,NA,NA
"Whiteandtribs.","Smsr.20",1418.07443,1352.50119,1049.59187,1846.06251,NA,NA
"YukonR.Teslinheadwaters","Smsr.20",1041.44893,1004.64062,814.79923,1305.70286,NA,NA
"Big.Salmon","Smsr.40",3082.98385,2736.73831,1943.99137,4526.03765,NA,NA
"MiddleYukonR.andtribs.","Smsr.40",9036.20725,7908.06002,5350.68795,13538.70135,NA,NA
"Nordenskiold","Smsr.40",646.54855,632.02374,525.96998,781.65641,NA,NA
"NorthernYukonR.andtribs.","Smsr.40",3359.41459,3224.314,2583.85327,4219.68226,NA,NA
"Pelly","Smsr.40",5890.06017,5568.63495,4295.8715,7669.8762,NA,NA
"Stewart","Smsr.40",1802.02135,1597.42074,1168.08542,2535.39843,NA,NA
"UpperYukonR.","Smsr.40",2251.61051,2147.50167,1664.10301,2933.63499,NA,NA
"Whiteandtribs.","Smsr.40",2836.14887,2705.00239,2099.18374,3692.12502,NA,NA
"YukonR.Teslinheadwaters","Smsr.40",2082.89786,2009.28124,1629.59846,2611.40573,NA,NA
"Big.Salmon","Smsy",3340.68025,3169.68769,1416.45719,5222.51881,NA,NA
"MiddleYukonR.andtribs.","Smsy",9095.63971,8218.9743,3763.26185,14462.99195,NA,NA
"Nordenskiold","Smsy",1153.44404,1133.76465,977.29602,1359.23052,NA,NA
"NorthernYukonR.andtribs.","Smsy",3513.50292,3485.16401,1323.71694,5557.91962,NA,NA
"Pelly","Smsy",5350.80003,5092.14924,1724.1536,8876.859,NA,NA
"Stewart","Smsy",2200.79297,2111.46364,1353.78277,3076.86497,NA,NA
"UpperYukonR.","Smsy",2732.06922,2703.5258,1960.4673,3561.0459,NA,NA
"Whiteandtribs.","Smsy",3140.12231,2993.40408,1284.378,5089.81442,NA,NA
"YukonR.Teslinheadwaters","Smsy",3088.54596,3111.45906,2190.4224,3966.04078,NA,NA
"Big.Salmon","Umsy",0.4577,0.46721,0.1915,0.69302,NA,NA
"MiddleYukonR.andtribs.","Umsy",0.4285,0.4317,0.1743,0.66227,NA,NA
"Nordenskiold","Umsy",0.72005,0.72838,0.63312,0.79935,NA,NA
"NorthernYukonR.andtribs.","Umsy",0.42744,0.42914,0.16055,0.67809,NA,NA
"Pelly","Umsy",0.37371,0.36405,0.11883,0.63493,NA,NA
"Stewart","Umsy",0.51672,0.53155,0.30674,0.70417,NA,NA
"UpperYukonR.","Umsy",0.49896,0.51064,0.34627,0.6381,NA,NA
"Whiteandtribs.","Umsy",0.45014,0.45155,0.18478,0.71264,NA,NA
"YukonR.Teslinheadwaters","Umsy",0.60353,0.63075,0.41748,0.75036,NA,NA
"Big.Salmon","alpha",3.1776,2.99468,1.49791,6.5143,2830,1
"MiddleYukonR.andtribs.","alpha",2.89437,2.70961,1.44172,5.74191,4137,1.0001
"Nordenskiold","alpha",7.57989,7.62735,5.13376,11.08429,6416,0.9998
"NorthernYukonR.andtribs.","alpha",2.94989,2.69057,1.39873,6.12007,1087,1.0029
"Pelly","alpha",2.49982,2.26296,1.27804,5.16863,3225,1.001
"Stewart","alpha",3.69587,3.63232,1.96028,6.83567,4535,1.0008
"UpperYukonR.","alpha",3.39559,3.40517,2.16265,5.23033,2588,1.0009
"Whiteandtribs.","alpha",3.13088,2.86394,1.47563,7.09677,3380,1.0011
"YukonR.Teslinheadwaters","alpha",4.94295,5.08876,2.60616,8.48321,4692,0.9999
"Big.Salmon","beta",0.00015,0.00015,9e-05,0.00021,1595,1.0014
"MiddleYukonR.andtribs.","beta",5e-05,5e-05,3e-05,7e-05,5024,1.0002
"Nordenskiold","beta",0.00063,0.00063,0.00051,0.00076,8190,1.0002
"NorthernYukonR.andtribs.","beta",0.00012,0.00012,9e-05,0.00015,7037,1
"Pelly","beta",7e-05,7e-05,5e-05,9e-05,5100,1.0008
"Stewart","beta",0.00025,0.00025,0.00016,0.00034,5229,0.9999
"UpperYukonR.","beta",0.00019,0.00019,0.00014,0.00024,6613,1
"Whiteandtribs.","beta",0.00015,0.00015,0.00011,0.00019,6515,0.9999
"YukonR.Teslinheadwaters","beta",2e-04,2e-04,0.00015,0.00025,6695,1
"Big.Salmon","phi",0.82887,0.84627,0.67491,0.96192,4480,0.9999
"MiddleYukonR.andtribs.","phi",0.79496,0.81003,0.62653,0.94789,2178,1.0021
"Nordenskiold","phi",0.34949,0.3496,0.08152,0.61035,3899,1.0015
"NorthernYukonR.andtribs.","phi",0.85511,0.86449,0.74333,0.95727,5106,1.0004
"Pelly","phi",0.84816,0.86248,0.71582,0.96393,4306,1
"Stewart","phi",0.71538,0.72548,0.51846,0.90191,4729,1.0001
"UpperYukonR.","phi",0.52528,0.53296,0.2745,0.76594,3379,0.9998
"Whiteandtribs.","phi",0.83584,0.85302,0.68866,0.96394,5047,1.0001
"YukonR.Teslinheadwaters","phi",0.74069,0.75663,0.53856,0.92464,4347,1.0005
"Big.Salmon","sigma",0.94321,0.94023,0.84389,1.0496,5475,0.9999
"MiddleYukonR.andtribs.","sigma",1.0048,1.00019,0.90938,1.10994,6499,1.0004
"Nordenskiold","sigma",1.29527,1.29036,1.1864,1.41001,9350,0.9999
"NorthernYukonR.andtribs.","sigma",0.96835,0.96389,0.87202,1.07046,7940,1
"Pelly","sigma",0.96239,0.95717,0.86745,1.06524,5646,1.0002
"Stewart","sigma",1.05791,1.05328,0.95907,1.16076,8797,0.9997
"UpperYukonR.","sigma",1.18105,1.17552,1.0754,1.29525,6003,1.0002
"Whiteandtribs.","sigma",1.00703,1.00328,0.89953,1.1206,4625,0.9999
"YukonR.Teslinheadwaters","sigma",0.9653,0.96107,0.86961,1.06595,7084,1.0006
