"stock","year","mean","lower","upper","cv"
"NorthernYukonR.andtribs.","1985",1675.31447568526,753.357907553612,2597.2710438169,0.275159255624092
"NorthernYukonR.andtribs.","1986",3233.10145550154,1865.20197628409,4601.00093471901,0.211546018280651
"NorthernYukonR.andtribs.","1987",3175.59910243921,2060.51678581434,4290.68141906408,0.175570385406704
"NorthernYukonR.andtribs.","1988",13375.7448808609,8837.1393599475,17914.3504017744,0.169658047508354
"NorthernYukonR.andtribs.","1989",5034.40979079362,1667.3785905655,8401.44099102177,0.334401780958057
"NorthernYukonR.andtribs.","1990",19839.2351323826,11963.4082699145,27715.0619948508,0.198491192072542
"NorthernYukonR.andtribs.","1991",9232.68334723793,6803.76875974468,11661.5979347312,0.131538930565614
"NorthernYukonR.andtribs.","1992",6500.05036483821,4140.1929467043,8859.90778297214,0.181526087159223
"NorthernYukonR.andtribs.","1993",13619.1638197754,9717.00400305566,17521.3236364952,0.14325988982722
"NorthernYukonR.andtribs.","1994",16207.0766391625,12187.6278786036,20226.5253997214,0.124002892379937
"NorthernYukonR.andtribs.","1995",9297.37100095398,6654.12982865639,11940.6121732516,0.142149924533849
"NorthernYukonR.andtribs.","1996",6146.8589735589,3713.919414211,8579.79853290683,0.197901039361189
"NorthernYukonR.andtribs.","1997",8629.98355976542,5919.98631394285,11339.980805588,0.157010568273681
"NorthernYukonR.andtribs.","1998",5655.69497985288,3152.82653495337,8158.5634247524,0.221269751446587
"NorthernYukonR.andtribs.","1999",4180.14227430692,2643.41525404881,5716.86929456504,0.183812765142415
"NorthernYukonR.andtribs.","2000",2484.30894213628,1499.96022342563,3468.65766084695,0.198113185927715
"NorthernYukonR.andtribs.","2001",6883.35958134658,4283.75224270153,9482.96691999166,0.18883274278521
"NorthernYukonR.andtribs.","2002",7243.67313656614,5012.12070840383,9475.22556472847,0.154034588950282
"NorthernYukonR.andtribs.","2003",18290.4736358861,14100.6367853218,22480.3104864506,0.114536040289954
"NorthernYukonR.andtribs.","2004",11277.7964396093,8556.4369073548,13999.1559718638,0.120651208187119
"NorthernYukonR.andtribs.","2005",9848.03295779729,7560.22544885345,12135.8404667412,0.116155557091859
"NorthernYukonR.andtribs.","2006",12094.2386156263,8204.04434109465,15984.432890158,0.160828407565292
"NorthernYukonR.andtribs.","2007",4584.58928871344,3160.93351626302,6008.24506116388,0.155265355607236
"NorthernYukonR.andtribs.","2008",5127.12971786729,4422.71446744969,5831.54496828491,0.0686948925792561
"NorthernYukonR.andtribs.","2009",6802.7277885787,5523.40478081297,8082.05079634446,0.0940301484585078
"NorthernYukonR.andtribs.","2010",2638.76771743169,1413.42544287354,3864.10999198985,0.232180776364578
"NorthernYukonR.andtribs.","2011",3995.57849998175,3263.90893182213,4727.24806814138,0.0915599040493093
"NorthernYukonR.andtribs.","2012",5093.72961467896,3538.87611255855,6648.5831167994,0.152624267456178
